OriginalTweet,Sentiment
Grateful to the healthcare workers!,Positive
Why is there still no support for daily workers?,Negative
Wear your masks and follow guidelines.,Neutral
Grateful to the healthcare workers!,Positive
This lockdown is affecting my mental health.,Negative
COVID-19 cases reported today.,Neutral
Hope is stronger than fear.,Positive
I’m tired of all the fake news around vaccines.,Negative
The vaccination slot booking starts at 4 PM.,Neutral
Vaccination drive is going great!,Positive
This lockdown is affecting my mental health.,Negative
COVID-19 cases reported today.,Neutral
Hope is stronger than fear.,Positive
I’m tired of all the fake news around vaccines.,Negative
Wear your masks and follow guidelines.,Neutral
Feeling safe after getting vaccinated.,Positive
"Lost a loved one to COVID, heartbroken.",Negative
COVID-19 cases reported today.,Neutral
"Recovered from COVID-19, feeling blessed.",Positive
I’m tired of all the fake news around vaccines.,Negative
"Stay home, stay safe.",Neutral
Grateful to the healthcare workers!,Positive
"Lost a loved one to COVID, heartbroken.",Negative
The vaccination slot booking starts at 4 PM.,Neutral
Vaccination drive is going great!,Positive
This lockdown is affecting my mental health.,Negative
"Stay home, stay safe.",Neutral
Grateful to the healthcare workers!,Positive
Why is there still no support for daily workers?,Negative
COVID-19 cases reported today.,Neutral
Vaccination drive is going great!,Positive
Hospitals are overwhelmed and under-resourced.,Negative
The vaccination slot booking starts at 4 PM.,Neutral
Hope is stronger than fear.,Positive
Why is there still no support for daily workers?,Negative
"Stay home, stay safe.",Neutral
Grateful to the healthcare workers!,Positive
Hospitals are overwhelmed and under-resourced.,Negative
COVID-19 cases reported today.,Neutral
Feeling safe after getting vaccinated.,Positive
Why is there still no support for daily workers?,Negative
"Stay home, stay safe.",Neutral
"Recovered from COVID-19, feeling blessed.",Positive
"Lost a loved one to COVID, heartbroken.",Negative
The vaccination slot booking starts at 4 PM.,Neutral
"Recovered from COVID-19, feeling blessed.",Positive
I’m tired of all the fake news around vaccines.,Negative
COVID-19 cases reported today.,Neutral
Vaccination drive is going great!,Positive
This lockdown is affecting my mental health.,Negative
The vaccination slot booking starts at 4 PM.,Neutral
Feeling safe after getting vaccinated.,Positive
Why is there still no support for daily workers?,Negative
COVID-19 cases reported today.,Neutral
Vaccination drive is going great!,Positive
This lockdown is affecting my mental health.,Negative
Daily stats are being updated.,Neutral
Hope is stronger than fear.,Positive
This lockdown is affecting my mental health.,Negative
Daily stats are being updated.,Neutral
Feeling safe after getting vaccinated.,Positive
Hospitals are overwhelmed and under-resourced.,Negative
The vaccination slot booking starts at 4 PM.,Neutral
Vaccination drive is going great!,Positive
"Lost a loved one to COVID, heartbroken.",Negative
The vaccination slot booking starts at 4 PM.,Neutral
Hope is stronger than fear.,Positive
This lockdown is affecting my mental health.,Negative
The vaccination slot booking starts at 4 PM.,Neutral
Hope is stronger than fear.,Positive
This lockdown is affecting my mental health.,Negative
Wear your masks and follow guidelines.,Neutral
"Recovered from COVID-19, feeling blessed.",Positive
This lockdown is affecting my mental health.,Negative
Wear your masks and follow guidelines.,Neutral
Grateful to the healthcare workers!,Positive
Why is there still no support for daily workers?,Negative
COVID-19 cases reported today.,Neutral
Grateful to the healthcare workers!,Positive
Hospitals are overwhelmed and under-resourced.,Negative
The vaccination slot booking starts at 4 PM.,Neutral
"Recovered from COVID-19, feeling blessed.",Positive
Hospitals are overwhelmed and under-resourced.,Negative
"Stay home, stay safe.",Neutral
Grateful to the healthcare workers!,Positive
I’m tired of all the fake news around vaccines.,Negative
"Stay home, stay safe.",Neutral
Feeling safe after getting vaccinated.,Positive
Why is there still no support for daily workers?,Negative
"Stay home, stay safe.",Neutral
Grateful to the healthcare workers!,Positive
Why is there still no support for daily workers?,Negative
Daily stats are being updated.,Neutral
Grateful to the healthcare workers!,Positive
Why is there still no support for daily workers?,Negative
Wear your masks and follow guidelines.,Neutral
Feeling safe after getting vaccinated.,Positive
"Lost a loved one to COVID, heartbroken.",Negative
COVID-19 cases reported today.,Neutral
Grateful to the healthcare workers!,Positive
Hospitals are overwhelmed and under-resourced.,Negative
COVID-19 cases reported today.,Neutral
Feeling safe after getting vaccinated.,Positive
"Lost a loved one to COVID, heartbroken.",Negative
Wear your masks and follow guidelines.,Neutral
"Recovered from COVID-19, feeling blessed.",Positive
Why is there still no support for daily workers?,Negative
The vaccination slot booking starts at 4 PM.,Neutral
Vaccination drive is going great!,Positive
I’m tired of all the fake news around vaccines.,Negative
COVID-19 cases reported today.,Neutral
Hope is stronger than fear.,Positive
I’m tired of all the fake news around vaccines.,Negative
Wear your masks and follow guidelines.,Neutral
Vaccination drive is going great!,Positive
Why is there still no support for daily workers?,Negative
COVID-19 cases reported today.,Neutral
Vaccination drive is going great!,Positive
I’m tired of all the fake news around vaccines.,Negative
Wear your masks and follow guidelines.,Neutral
Feeling safe after getting vaccinated.,Positive
"Lost a loved one to COVID, heartbroken.",Negative
Daily stats are being updated.,Neutral
Feeling safe after getting vaccinated.,Positive
Hospitals are overwhelmed and under-resourced.,Negative
Wear your masks and follow guidelines.,Neutral
Vaccination drive is going great!,Positive
Why is there still no support for daily workers?,Negative
Wear your masks and follow guidelines.,Neutral
"Recovered from COVID-19, feeling blessed.",Positive
Why is there still no support for daily workers?,Negative
The vaccination slot booking starts at 4 PM.,Neutral
Vaccination drive is going great!,Positive
Hospitals are overwhelmed and under-resourced.,Negative
Daily stats are being updated.,Neutral
Grateful to the healthcare workers!,Positive
Why is there still no support for daily workers?,Negative
Wear your masks and follow guidelines.,Neutral
Feeling safe after getting vaccinated.,Positive
I’m tired of all the fake news around vaccines.,Negative
Wear your masks and follow guidelines.,Neutral
Hope is stronger than fear.,Positive
This lockdown is affecting my mental health.,Negative
"Stay home, stay safe.",Neutral
"Recovered from COVID-19, feeling blessed.",Positive
I’m tired of all the fake news around vaccines.,Negative
The vaccination slot booking starts at 4 PM.,Neutral
Feeling safe after getting vaccinated.,Positive
Hospitals are overwhelmed and under-resourced.,Negative
Daily stats are being updated.,Neutral
Grateful to the healthcare workers!,Positive
Why is there still no support for daily workers?,Negative
COVID-19 cases reported today.,Neutral
Vaccination drive is going great!,Positive
"Lost a loved one to COVID, heartbroken.",Negative
"Stay home, stay safe.",Neutral
Grateful to the healthcare workers!,Positive
This lockdown is affecting my mental health.,Negative
COVID-19 cases reported today.,Neutral
Vaccination drive is going great!,Positive
"Lost a loved one to COVID, heartbroken.",Negative
Wear your masks and follow guidelines.,Neutral
Feeling safe after getting vaccinated.,Positive
Hospitals are overwhelmed and under-resourced.,Negative
COVID-19 cases reported today.,Neutral
Feeling safe after getting vaccinated.,Positive
Why is there still no support for daily workers?,Negative
Wear your masks and follow guidelines.,Neutral
"Recovered from COVID-19, feeling blessed.",Positive
Hospitals are overwhelmed and under-resourced.,Negative
The vaccination slot booking starts at 4 PM.,Neutral
"Recovered from COVID-19, feeling blessed.",Positive
"Lost a loved one to COVID, heartbroken.",Negative
The vaccination slot booking starts at 4 PM.,Neutral
Vaccination drive is going great!,Positive
Hospitals are overwhelmed and under-resourced.,Negative
"Stay home, stay safe.",Neutral
"Recovered from COVID-19, feeling blessed.",Positive
This lockdown is affecting my mental health.,Negative
Daily stats are being updated.,Neutral
Vaccination drive is going great!,Positive
Hospitals are overwhelmed and under-resourced.,Negative
Daily stats are being updated.,Neutral
Hope is stronger than fear.,Positive
Why is there still no support for daily workers?,Negative
Wear your masks and follow guidelines.,Neutral
Feeling safe after getting vaccinated.,Positive
This lockdown is affecting my mental health.,Negative
COVID-19 cases reported today.,Neutral
"Recovered from COVID-19, feeling blessed.",Positive
I’m tired of all the fake news around vaccines.,Negative
The vaccination slot booking starts at 4 PM.,Neutral
Vaccination drive is going great!,Positive
This lockdown is affecting my mental health.,Negative
The vaccination slot booking starts at 4 PM.,Neutral
Grateful to the healthcare workers!,Positive
This lockdown is affecting my mental health.,Negative
Wear your masks and follow guidelines.,Neutral
"Recovered from COVID-19, feeling blessed.",Positive
Why is there still no support for daily workers?,Negative
The vaccination slot booking starts at 4 PM.,Neutral
Feeling safe after getting vaccinated.,Positive
Why is there still no support for daily workers?,Negative
"Stay home, stay safe.",Neutral
"Recovered from COVID-19, feeling blessed.",Positive
Why is there still no support for daily workers?,Negative
"Stay home, stay safe.",Neutral
"Recovered from COVID-19, feeling blessed.",Positive
I’m tired of all the fake news around vaccines.,Negative
COVID-19 cases reported today.,Neutral
Vaccination drive is going great!,Positive
This lockdown is affecting my mental health.,Negative
COVID-19 cases reported today.,Neutral
Vaccination drive is going great!,Positive
This lockdown is affecting my mental health.,Negative
Daily stats are being updated.,Neutral
Feeling safe after getting vaccinated.,Positive
"Lost a loved one to COVID, heartbroken.",Negative
Wear your masks and follow guidelines.,Neutral
Feeling safe after getting vaccinated.,Positive
This lockdown is affecting my mental health.,Negative
COVID-19 cases reported today.,Neutral
"Recovered from COVID-19, feeling blessed.",Positive
This lockdown is affecting my mental health.,Negative
COVID-19 cases reported today.,Neutral
Hope is stronger than fear.,Positive
I’m tired of all the fake news around vaccines.,Negative
Wear your masks and follow guidelines.,Neutral
Hope is stronger than fear.,Positive
"Lost a loved one to COVID, heartbroken.",Negative
Daily stats are being updated.,Neutral
Hope is stronger than fear.,Positive
Hospitals are overwhelmed and under-resourced.,Negative
"Stay home, stay safe.",Neutral
"Recovered from COVID-19, feeling blessed.",Positive
"Lost a loved one to COVID, heartbroken.",Negative
Daily stats are being updated.,Neutral
"Recovered from COVID-19, feeling blessed.",Positive
Why is there still no support for daily workers?,Negative
"Stay home, stay safe.",Neutral
Feeling safe after getting vaccinated.,Positive
I’m tired of all the fake news around vaccines.,Negative
COVID-19 cases reported today.,Neutral
"Recovered from COVID-19, feeling blessed.",Positive
This lockdown is affecting my mental health.,Negative
"Stay home, stay safe.",Neutral
Feeling safe after getting vaccinated.,Positive
Why is there still no support for daily workers?,Negative
Wear your masks and follow guidelines.,Neutral
Vaccination drive is going great!,Positive
Why is there still no support for daily workers?,Negative
Daily stats are being updated.,Neutral
"Recovered from COVID-19, feeling blessed.",Positive
Hospitals are overwhelmed and under-resourced.,Negative
"Stay home, stay safe.",Neutral
Feeling safe after getting vaccinated.,Positive
Hospitals are overwhelmed and under-resourced.,Negative
COVID-19 cases reported today.,Neutral
Vaccination drive is going great!,Positive
Why is there still no support for daily workers?,Negative
Daily stats are being updated.,Neutral
Hope is stronger than fear.,Positive
I’m tired of all the fake news around vaccines.,Negative
Wear your masks and follow guidelines.,Neutral
Feeling safe after getting vaccinated.,Positive
This lockdown is affecting my mental health.,Negative
COVID-19 cases reported today.,Neutral
Grateful to the healthcare workers!,Positive
"Lost a loved one to COVID, heartbroken.",Negative
COVID-19 cases reported today.,Neutral
Hope is stronger than fear.,Positive
Why is there still no support for daily workers?,Negative
Wear your masks and follow guidelines.,Neutral
Feeling safe after getting vaccinated.,Positive
This lockdown is affecting my mental health.,Negative
COVID-19 cases reported today.,Neutral
Grateful to the healthcare workers!,Positive
Why is there still no support for daily workers?,Negative
Daily stats are being updated.,Neutral
Hope is stronger than fear.,Positive
This lockdown is affecting my mental health.,Negative
"Stay home, stay safe.",Neutral
Grateful to the healthcare workers!,Positive
Hospitals are overwhelmed and under-resourced.,Negative
Daily stats are being updated.,Neutral
"Recovered from COVID-19, feeling blessed.",Positive
Hospitals are overwhelmed and under-resourced.,Negative
Daily stats are being updated.,Neutral
Hope is stronger than fear.,Positive
This lockdown is affecting my mental health.,Negative
The vaccination slot booking starts at 4 PM.,Neutral
Vaccination drive is going great!,Positive
"Lost a loved one to COVID, heartbroken.",Negative
Daily stats are being updated.,Neutral
Feeling safe after getting vaccinated.,Positive
Why is there still no support for daily workers?,Negative
The vaccination slot booking starts at 4 PM.,Neutral
Hope is stronger than fear.,Positive
Hospitals are overwhelmed and under-resourced.,Negative
The vaccination slot booking starts at 4 PM.,Neutral
"Recovered from COVID-19, feeling blessed.",Positive
This lockdown is affecting my mental health.,Negative
The vaccination slot booking starts at 4 PM.,Neutral
Hope is stronger than fear.,Positive
"Lost a loved one to COVID, heartbroken.",Negative
COVID-19 cases reported today.,Neutral
"Recovered from COVID-19, feeling blessed.",Positive
"Lost a loved one to COVID, heartbroken.",Negative
COVID-19 cases reported today.,Neutral
Grateful to the healthcare workers!,Positive
Why is there still no support for daily workers?,Negative
Wear your masks and follow guidelines.,Neutral
Grateful to the healthcare workers!,Positive
Hospitals are overwhelmed and under-resourced.,Negative
The vaccination slot booking starts at 4 PM.,Neutral
Feeling safe after getting vaccinated.,Positive
"Lost a loved one to COVID, heartbroken.",Negative
Wear your masks and follow guidelines.,Neutral
Feeling safe after getting vaccinated.,Positive
Why is there still no support for daily workers?,Negative
COVID-19 cases reported today.,Neutral
Grateful to the healthcare workers!,Positive
This lockdown is affecting my mental health.,Negative
The vaccination slot booking starts at 4 PM.,Neutral
Grateful to the healthcare workers!,Positive
This lockdown is affecting my mental health.,Negative
"Stay home, stay safe.",Neutral
Hope is stronger than fear.,Positive
This lockdown is affecting my mental health.,Negative
"Stay home, stay safe.",Neutral
Hope is stronger than fear.,Positive
I’m tired of all the fake news around vaccines.,Negative
COVID-19 cases reported today.,Neutral
Vaccination drive is going great!,Positive
This lockdown is affecting my mental health.,Negative
"Stay home, stay safe.",Neutral
Hope is stronger than fear.,Positive
I’m tired of all the fake news around vaccines.,Negative
COVID-19 cases reported today.,Neutral
Hope is stronger than fear.,Positive
This lockdown is affecting my mental health.,Negative
Wear your masks and follow guidelines.,Neutral
Vaccination drive is going great!,Positive
Hospitals are overwhelmed and under-resourced.,Negative
"Stay home, stay safe.",Neutral
Hope is stronger than fear.,Positive
I’m tired of all the fake news around vaccines.,Negative
The vaccination slot booking starts at 4 PM.,Neutral
Grateful to the healthcare workers!,Positive
Hospitals are overwhelmed and under-resourced.,Negative
COVID-19 cases reported today.,Neutral
"Recovered from COVID-19, feeling blessed.",Positive
This lockdown is affecting my mental health.,Negative
"Stay home, stay safe.",Neutral
"Recovered from COVID-19, feeling blessed.",Positive
This lockdown is affecting my mental health.,Negative
Wear your masks and follow guidelines.,Neutral
"Recovered from COVID-19, feeling blessed.",Positive
I’m tired of all the fake news around vaccines.,Negative
COVID-19 cases reported today.,Neutral
Feeling safe after getting vaccinated.,Positive
I’m tired of all the fake news around vaccines.,Negative
COVID-19 cases reported today.,Neutral
Vaccination drive is going great!,Positive
Hospitals are overwhelmed and under-resourced.,Negative
COVID-19 cases reported today.,Neutral
Hope is stronger than fear.,Positive
"Lost a loved one to COVID, heartbroken.",Negative
Daily stats are being updated.,Neutral
Vaccination drive is going great!,Positive
This lockdown is affecting my mental health.,Negative
COVID-19 cases reported today.,Neutral
"Recovered from COVID-19, feeling blessed.",Positive
"Lost a loved one to COVID, heartbroken.",Negative
Wear your masks and follow guidelines.,Neutral
Hope is stronger than fear.,Positive
Why is there still no support for daily workers?,Negative
"Stay home, stay safe.",Neutral
Grateful to the healthcare workers!,Positive
"Lost a loved one to COVID, heartbroken.",Negative
"Stay home, stay safe.",Neutral
Grateful to the healthcare workers!,Positive
I’m tired of all the fake news around vaccines.,Negative
Wear your masks and follow guidelines.,Neutral
Feeling safe after getting vaccinated.,Positive
This lockdown is affecting my mental health.,Negative
The vaccination slot booking starts at 4 PM.,Neutral
Feeling safe after getting vaccinated.,Positive
Why is there still no support for daily workers?,Negative
The vaccination slot booking starts at 4 PM.,Neutral
"Recovered from COVID-19, feeling blessed.",Positive
I’m tired of all the fake news around vaccines.,Negative
COVID-19 cases reported today.,Neutral
"Recovered from COVID-19, feeling blessed.",Positive
This lockdown is affecting my mental health.,Negative
COVID-19 cases reported today.,Neutral
Grateful to the healthcare workers!,Positive
Hospitals are overwhelmed and under-resourced.,Negative
The vaccination slot booking starts at 4 PM.,Neutral
Vaccination drive is going great!,Positive
Hospitals are overwhelmed and under-resourced.,Negative
COVID-19 cases reported today.,Neutral
Hope is stronger than fear.,Positive
"Lost a loved one to COVID, heartbroken.",Negative
Wear your masks and follow guidelines.,Neutral
Feeling safe after getting vaccinated.,Positive
I’m tired of all the fake news around vaccines.,Negative
"Stay home, stay safe.",Neutral
Hope is stronger than fear.,Positive
"Lost a loved one to COVID, heartbroken.",Negative
Daily stats are being updated.,Neutral
Grateful to the healthcare workers!,Positive
I’m tired of all the fake news around vaccines.,Negative
The vaccination slot booking starts at 4 PM.,Neutral
Grateful to the healthcare workers!,Positive
This lockdown is affecting my mental health.,Negative
Daily stats are being updated.,Neutral
Vaccination drive is going great!,Positive
Hospitals are overwhelmed and under-resourced.,Negative
"Stay home, stay safe.",Neutral
"Recovered from COVID-19, feeling blessed.",Positive
Why is there still no support for daily workers?,Negative
The vaccination slot booking starts at 4 PM.,Neutral
Hope is stronger than fear.,Positive
Hospitals are overwhelmed and under-resourced.,Negative
Wear your masks and follow guidelines.,Neutral
Feeling safe after getting vaccinated.,Positive
Hospitals are overwhelmed and under-resourced.,Negative
Wear your masks and follow guidelines.,Neutral
Feeling safe after getting vaccinated.,Positive
I’m tired of all the fake news around vaccines.,Negative
"Stay home, stay safe.",Neutral
Grateful to the healthcare workers!,Positive
"Lost a loved one to COVID, heartbroken.",Negative
"Stay home, stay safe.",Neutral
Grateful to the healthcare workers!,Positive
This lockdown is affecting my mental health.,Negative
Wear your masks and follow guidelines.,Neutral
Grateful to the healthcare workers!,Positive
Why is there still no support for daily workers?,Negative
Wear your masks and follow guidelines.,Neutral
Feeling safe after getting vaccinated.,Positive
Hospitals are overwhelmed and under-resourced.,Negative
Daily stats are being updated.,Neutral
Feeling safe after getting vaccinated.,Positive
"Lost a loved one to COVID, heartbroken.",Negative
Daily stats are being updated.,Neutral
"Recovered from COVID-19, feeling blessed.",Positive
Why is there still no support for daily workers?,Negative
COVID-19 cases reported today.,Neutral
Feeling safe after getting vaccinated.,Positive
Why is there still no support for daily workers?,Negative
The vaccination slot booking starts at 4 PM.,Neutral
Vaccination drive is going great!,Positive
I’m tired of all the fake news around vaccines.,Negative
Daily stats are being updated.,Neutral
Feeling safe after getting vaccinated.,Positive
"Lost a loved one to COVID, heartbroken.",Negative
COVID-19 cases reported today.,Neutral
Grateful to the healthcare workers!,Positive
Why is there still no support for daily workers?,Negative
The vaccination slot booking starts at 4 PM.,Neutral
"Recovered from COVID-19, feeling blessed.",Positive
Why is there still no support for daily workers?,Negative
Daily stats are being updated.,Neutral
Hope is stronger than fear.,Positive
I’m tired of all the fake news around vaccines.,Negative
Wear your masks and follow guidelines.,Neutral
Vaccination drive is going great!,Positive
Hospitals are overwhelmed and under-resourced.,Negative
Wear your masks and follow guidelines.,Neutral
Grateful to the healthcare workers!,Positive
Why is there still no support for daily workers?,Negative
COVID-19 cases reported today.,Neutral
Grateful to the healthcare workers!,Positive
Why is there still no support for daily workers?,Negative
Daily stats are being updated.,Neutral
"Recovered from COVID-19, feeling blessed.",Positive
Hospitals are overwhelmed and under-resourced.,Negative
Daily stats are being updated.,Neutral
"Recovered from COVID-19, feeling blessed.",Positive
I’m tired of all the fake news around vaccines.,Negative
The vaccination slot booking starts at 4 PM.,Neutral
Feeling safe after getting vaccinated.,Positive
This lockdown is affecting my mental health.,Negative
Wear your masks and follow guidelines.,Neutral
Vaccination drive is going great!,Positive
I’m tired of all the fake news around vaccines.,Negative
"Stay home, stay safe.",Neutral
Vaccination drive is going great!,Positive
This lockdown is affecting my mental health.,Negative
"Stay home, stay safe.",Neutral
Vaccination drive is going great!,Positive
I’m tired of all the fake news around vaccines.,Negative
Wear your masks and follow guidelines.,Neutral
Grateful to the healthcare workers!,Positive
Why is there still no support for daily workers?,Negative
COVID-19 cases reported today.,Neutral
Hope is stronger than fear.,Positive
Why is there still no support for daily workers?,Negative
Wear your masks and follow guidelines.,Neutral
Vaccination drive is going great!,Positive
I’m tired of all the fake news around vaccines.,Negative
The vaccination slot booking starts at 4 PM.,Neutral
Feeling safe after getting vaccinated.,Positive
Hospitals are overwhelmed and under-resourced.,Negative
Wear your masks and follow guidelines.,Neutral
"Recovered from COVID-19, feeling blessed.",Positive
Hospitals are overwhelmed and under-resourced.,Negative
"Stay home, stay safe.",Neutral
"Recovered from COVID-19, feeling blessed.",Positive
I’m tired of all the fake news around vaccines.,Negative
"Stay home, stay safe.",Neutral
Grateful to the healthcare workers!,Positive
Why is there still no support for daily workers?,Negative
Wear your masks and follow guidelines.,Neutral
Grateful to the healthcare workers!,Positive
"Lost a loved one to COVID, heartbroken.",Negative
The vaccination slot booking starts at 4 PM.,Neutral
"Recovered from COVID-19, feeling blessed.",Positive
Why is there still no support for daily workers?,Negative
Daily stats are being updated.,Neutral
